"review_group","review_words","word_count","count_normalise","game"
"Negative reviews","time",217,0.00498529682043742,"Crusader Kings III: Royal Court"
"Negative reviews","events",203,0.00466366476750597,"Crusader Kings III: Royal Court"
"Negative reviews","3d",187,0.00429608527844146,"Crusader Kings III: Royal Court"
"Negative reviews","make",174,0.00399742694357655,"Crusader Kings III: Royal Court"
"Negative reviews","still",169,0.00388255835324389,"Crusader Kings III: Royal Court"
"Negative reviews","wait",166,0.00381363719904429,"Crusader Kings III: Royal Court"
"Negative reviews","adds",165,0.00379066348097776,"Crusader Kings III: Royal Court"
"Negative reviews","ck3",156,0.00358390001837897,"Crusader Kings III: Royal Court"
"Negative reviews","play",155,0.00356092630031244,"Crusader Kings III: Royal Court"
"Negative reviews","way",155,0.00356092630031244,"Crusader Kings III: Royal Court"
"Negative reviews","artifacts",154,0.00353795258224591,"Crusader Kings III: Royal Court"
"Negative reviews","also",153,0.00351497886417938,"Crusader Kings III: Royal Court"
"Negative reviews","sale",152,0.00349200514611285,"Crusader Kings III: Royal Court"
"Negative reviews","expansion",149,0.00342308399191325,"Crusader Kings III: Royal Court"
"Negative reviews","now",149,0.00342308399191325,"Crusader Kings III: Royal Court"
"Negative reviews","one",144,0.00330821540158059,"Crusader Kings III: Royal Court"
"Negative reviews","system",142,0.00326226796544753,"Crusader Kings III: Royal Court"
"Negative reviews","free",134,0.00307847822091527,"Crusader Kings III: Royal Court"
"Negative reviews","little",134,0.00307847822091527,"Crusader Kings III: Royal Court"
"Negative reviews","room",130,0.00298658334864915,"Crusader Kings III: Royal Court"
"Negative reviews","mechanics",127,0.00291766219444955,"Crusader Kings III: Royal Court"
"Negative reviews","money",127,0.00291766219444955,"Crusader Kings III: Royal Court"
"Negative reviews","add",121,0.00277981988605036,"Crusader Kings III: Royal Court"
"Negative reviews","ck2",119,0.00273387244991729,"Crusader Kings III: Royal Court"
"Negative reviews","buy",118,0.00271089873185076,"Crusader Kings III: Royal Court"
"Negative reviews","update",116,0.0026649512957177,"Crusader Kings III: Royal Court"
